firm_name,business_type,address,reply
William Sandford,Woollen Manufacturer,"Under Bank Mill, Holmfirth","My works are situated on the Holme, a tributary of the Calder. Employ 40 hands. As the landlord pays the rates, am not able to state the rateable value of works. The bed of the river has not silted up opposite my works. My works are not affected by floods. The river is not polluted by works above, nor by mines. Obtain supply of water from the river and from springs; but am not able to state the annual consumption at my works. Manufacture yearly, 15,208 lbs. of goods, of the value of 3,600l. The whole of the liquid refuse produced at my works flows into the stream. Do not use any dyes or bleaching materials. Use yearly 4 tons of Gallipoli oil, of the value of 200l. Produce yearly about three tons of waste wool in the process of carding, which is sold for manure. Do not use any soap, alkali, or urine. Use steam, 20 nominal horse-power. Consume yearly about 450 tons of coal; the ashes from which are used for repairing roads. The excrements of my workpeople are carted away and used as manure. Have no suggestions to offer."
C. M. W. Bashforth,Manufacturer of Fancy Woollen Cloth,Holmfirth,"My works are situated on the Holme, a tributary of the Calder. Employ 40 hands. Rateable value of works, 160l. The bed of the stream has not silted up near my works. My works are not affected by floods. The condition of the stream has not changed, to my knowledge, within the last 20 years. It is polluted by works above; not by mines. Obtain supply of water from the river and from land drainage; but am not able to state the annual consumption at my works. Manufacture yearly, 30,000 lbs. of goods, of the value of 7,000l. The whole waste liquid produced at my works, except soap suds, flows direct into the river. I use yearly 5 tons of Gallipoli oil, of the value of 280l. Produce yearly about 3 tons of waste wool in the process of carding, which is sold to oil and grease extractors. Use yearly soap two tons. The soaps are treated for the recovery of the grease, by which I gain £1 0s. 0d. Note both steam and water, about 20 nominal horse-power, but as I rent the power, I am not able to state the consumption of coal, or what is done with the ashes. The excrements of my workplace are used for manure. No suggestions to offer."
James Ramsden,Scribbling Miller,Meltham,"My works are situated on the Mag, an affluent of the Holme, a tributary of the Calder. Employ 85 hands. Rateable value of works, 221l. The bed of the stream has not silted up near my works. My works are not affected by floods. The stream is polluted by works above, but to a considerable extent; but not by mines. Obtain supply of water jointly from the stream and from springs. I scribble and spin yearly goods, of the value of 5,000l. The whole of the waste liquid produced at my works flows into sewers, and thence into the stream. Use yearly, 45 tons of dye wares, chiefly logwood, barwood, Sander's wood, and fustic. Use yearly olive oil, but cannot state the weight or value, as the persons for whom I work supply me with the oil. The waste wool produced in carding is taken away by the persons for whom I scribble and spin. Use yearly, 2 tons of alkali and the urine of my workplace. Use steam, 20 nominal horse-power. Consume yearly 750 tons of coal, the ashes from which are used for repairing roads. The excrements of my workplace are used for manure. No suggestions to offer."
H. And G. Oldham,Silk Dyers and Woollen Manufacturers,"Moll Spring, Netherton","Our works are situated on the Mag, an affluent of the Holme, a tributary of the Calder. Employ 60 hands. Rateable value of works, 130l. The bed of the stream has not silted up near our works. Our works are not affected by floods. The stream is seriously polluted by works above; but not by mines. Obtain supply of water from springs, and consume yearly 20,000,000 gallons. Manufacture yearly 62,000 lbs. of goods of the value of 12,500l., and dye 50,000 lbs. of goods yearly. Produce yearly liquid refuse from washing 10,000,000 gallons, from dyeing 5,000,000 gallons, and from soaps 5,000,000 gallons. The whole of the liquid refuse produced at our works flows direct into the sewers and thence into the river. Use yearly 80,000 lbs. of dye wares of all descriptions. The spent dye stuffs are burned. Do not use any bleaching materials. Use yearly 2,330 gallons of olive oil of the value of 500l. Produce yearly 15,000 lbs. of waste wool in the process of carding, which are made into shoddy. Use yearly soap 8,000 lbs., and soda 3,000 lbs. The soaps are not treated for the recovery of grease. Use steam 400 nominal horse-power. Consume yearly 850 tons of coal, and make 100 tons of ashes, which are used for repairing roads. The excrements of our workplace are mixed with earth and used for manure. We suggest, as the best means of avoiding pollution in future, that ashes and other solid refuse should be kept out of rivers, and that all fluid and liquid refuse should flow into filtering tanks and be filtered through ashes, sand, and sawdust, and the solid refuse thus deposited to be carted away for manure."
John Littlewood & Sons,"Woollen Manufacturers, Scribblers, Millers, and Weavers",Honley,"Our works are situated on an affluent of the Colne, a tributary of the Calder. Employ 100 hands. Rateable value of works, 118l. 13s. The bed of the stream has not silted up near our works. Our works are not affected by floods. Obtain supply of water from a well. Manufacture yearly 102,774 lbs. of wool, and 96,000 lbs. of mingled waste, of the value of 10,108l. The whole of the waste liquid produced at our works flows into sewers and thence into the stream. Do not use any dyeing or bleaching materials. Use yearly 2,270 gallons of Galipolli and olive oils of the value of 486l. 19s. Produce yearly 14 tons of waste wool in the process of carding, which is sold to oil and grease extractors. Do not use any soap, alkali, or urine. Use steam 400 nominal horse-power. Consume yearly 640 tons of coals, the ashes from which are used to repair roads. The excrements of our workplace are used for manure. No suggestions to offer."
James Jordan,Woollen Manufacturer,"Dalton, near Kirkburton","My works are situated on an affluent of the river Calder, a tributary of the river Calder. Employ 160 hands. Rateable value of works, 210l. The bed of the stream has silted up, caused by solid and other refuse thrown into it. My works are not affected by floods. The stream is very much polluted by my works above, and is very considerably so by works below me, and also by mines. Obtain supply of water from land drainage, but am not able to state the annual consumption at my works. Manufacture yearly goods of the value of 400,000l. 60,000. The whole of the waste liquid produced at my works flows into sewers, and thence into the river. Use yearly about 10 tons of ashes. The spent dye stuffs are burned. Use yearly, soap 5,600 lbs; and ammonia: 5,040 lbs. The soapsuds are treated for the recovery of the grease. Use steam 12 nominal horse-power. Consume yearly 400 tons of coal; the ashes from which are used for repairing roads. The excrements of my workplace are carted away by farmers for manure. Have no suggestions to offer."
Benjamin Crook,Tanner,Whitey,"My tanyard is situated on Fox Royd Beck, an affluent of the Calder. Employ 4 hands. Rateable value of tanyard, 30l. The bed of the stream has not silted up. My tanyard is not affected by floods. The condition of the stream has not changed within my knowledge. It is not polluted by works above, nor by mines. Obtain supply of water from the stream and from a well, and consume yearly about 250,000 gallons. Tan yearly 50 tons of English hides; and produce yearly 30 tons of leather. Use lime 4 tons, bark 50 cwt. of hair in the process of depilation, which is sold to farmers. Obtain about 200 bushels of fatty matter in the process of fleshing, which is sold to waste boilers. I have 65 tan pits in my tanyard holding 600 gallons each. Do not use any dye waters. Produce about 100,000 gallons of liquid refuse, which flows direct into the stream. Use steam 5 nominal horse-power. Consume yearly 100 tons of coal; make about 20 tons of ashes, which are used for repairing roads. The excrements of my workplace are used for manure. I suggest that manufacturers should have depositing tanks and filter the whole of the waste liquid produced at their works before allowing it to flow into rivers and streams."
Benjamin Oakes & Sons,Manufacturers of Knitting Worsted,"Flanshaw, near Wakefield","Our works are situated on a small affluent of the Calder. Employ 130 hands. Rateable value of works, £323. The bed of the stream has not silted up. Our works are not affected by floods. Obtain supply of water from gathering grounds, which is collected in two reservoirs we have constructed for ourselves; I have to not know the annual consumption at our works. Manufacture yearly 250,000 lbs. of goods, of the value of £30,000. The whole of the liquid refuse produced at our works flows into sewers and thence into the stream. Use yearly 20 tons of dye wares, chiefly logwood, camwood, and barwood. The spent dye stuffs are burned. Do not use any bleaching materials. Use yearly olive oil of the value of £3801. The worst of the waste wool produced in carding is sold for manure. Use yearly, say 25 tons of alkali, six tons; no mire. The soapsuds are treated for the recovery of grease, by which we gain about £2. Use steam 30 nominal horse-power. Consume yearly from 1,300 to 1,400 tons of coal, the ashes from which are used chiefly for repairing roads; and footpaths in the district, and are also ground and mixed with lime for building purposes. The excrements of our workplace are carted away for manure."
"G. W. & I. Bayldon, Paper Manufacturers",Paper Manufacturers,"Calder Grove, Wakefield","Our mills are situated on the Blaker Beck, a tributary of the Calder. Employ 60 hands. Rateable value of works, 186l. The bed of the stream has not silted up. Our mills are not affected by floods. The stream is comparatively pure; it is only very slightly polluted by works above; not by mines. Obtain supply of water jointly from the stream and from wells. Use yearly, rags 300 tons; Esparato, 400 tons; soda ash, 96 tons; bleaching powder, 90 tons; and vitriol, 2 tons. The whole of the waste liquid produced at our mills flows into the stream. We do not recover the acid from the waste Esparato liquor. Manufacture yearly 480 tons of white and toned printing papers. Produce yearly 100 tons of rag dust, which is partly used for manure, and partly disposed of to grass paper makers. Use steam, 60 nominal horse-power. Consume yearly 3,400 tons of coal; the ashes from which are used for repairing roads and footpaths in the district, and are also ground and mixed with lime for building purposes. The excrements of our workplace are carted away for manure."
The Yorkshire Fibre Company,China Grass Manufacturers,"Baln Lane, Wakefield","Our works are situated on Baln Beck, a tributary of the Calder. Employ 50 hands. Rateable value of works, £160. The bed of the stream has not silted up within my knowledge. Our works are not affected by floods. The bed of the stream is generally clear; it is occasionally fouled by works above, and by refuse from our works. Obtain supply of water from a well, and consume yearly about 10,000,000 gallons. We use yearly 140 tons of raw material, the value of £10,000; manufacture 250,000 lbs. of goods, of the value of £21,625; and bleach 150 tons. We produce yearly 1 ton of refuse from washing, 7,000,000 gallons; bleaching, 300,000 gallons; and soapsuds, 30,000 gallons. The whole of this liquid refuse produced at our works flows direct into the stream, and hence into the stream. Do not use any dye wares. Use yearly, as bleaching materials, chloride of lime, 15,000 lbs. Use yearly, Gallipoli oil, 400 gallons, of the value of 1154. Use yearly: soap, 10 tons; alkali, 36 tons; no urine. The soapsuds are not treated for the recovery of the grease. Use steam, 16 nominal horse-power. Consume yearly 1,600 tons of coal, the ashes from which are carted on to the railway ballast. We suggest, as the best means of avoiding pollution in future, that manufacturers and others should be compelled to have disposing tanks and filters, and that the whole of the liquid refuse produced should be filtered before being allowed to be turned into rivers and streams."
George Lee And Sons,Worsted and Woollen Yarn Spinners,"West Gake, Wakefield","Our works are situated on the Chald Beck, a tributary of the Calder. Employ 400 hands. Rateable value of works, 1,120l. The bed of the stream has silted up. Our works are not affected by floods. The stream is considerably polluted by dye and other works above, but not by mines. Obtain supply of water from stream, from wells, and from waterworks; but cannot give the annual consumption at our works. If the stream were rendered clear and colourless, it would be considerable money value to us, but we are not able to fix the amount. We manufacture, bleach, print, and dye yearly 1,000,000 lbs. of goods. The value of the manufactured goods is about 100,000l.; of bleached, 20,000l.; of printed, 2,000l.; and of dyed, 20,000l. The whole of the waste liquid produced at our works flows into the river, and thence into the river. Use yearly as dye wares, chicory and wood also indigo and aniline dyes. The spent dyestuffs are burned. Use yearly 10,000 gallons of olive oil, of the value of 2,264. The waste produced in the process of carding is partly re-used, and partly applied as manure. Use yearly soap, 188,000 lbs., soda-ash, 90,000 lbs., 16,000 lbs., and no urine. The soapsuds are treated for the recovery of the grease, by which we gain yearly 100l. Consume yearly 5,000 tons of coal, the ashes from which are removed from the premises, and used for repairing roads and paving. The excrements of our workplace are partly treated by the Gux system and used as manure, and partly conveyed by waterclosets into sewers, and thence into the stream. We are of opinion that the best mode of dealing with the polluting substances is to treat them at the outfall and at the expense of the public generally, who contribute to the evil, and therefore should pay for the remedy."
Isaac Briggs And Sons,Worsted Spinners,"West Gate, Wakefield","Our works are situated near the Calder. Employ 100 hands. Rateable value of works, 180l. Our works are not affected by floods. Obtain supply of water from waterworks company; and to know the annual consumption at our works. Manufacture yearly 260,000 lbs. of goods, and dye 124,844 lbs. of goods, of the value of 30,000l. The whole of the waste liquid produced at our works flows direct into the river, and thence into the river. Use yearly as dye wares, camwood, 2 tons; logwood, 6 tons; cochineal, 2,100 lbs.; and aniline colours, 200 lbs. Do not use any bleaching materials. Use yearly 2,000 gallons of Gallipoli oil, of the value of 400l. Produce yearly 5 tons of waste wool in the process of carding, which is sold for manure. Use yearly, soap, 17 tons, and alkali, 3 tons. The soapsuds are not treated for the recovery of grease, but the whole is turned into sewers, and thence into the river. Use steam, 30 nominal horse-power. Consume yearly 1,600 tons of coal, the ashes from which are carted away as ballast for the railway, and for repairing roads. The excrements of our workplace are conveyed by waterclosets into sewers, and thence into the river. Have no suggestions to offer as to the best means of avoiding pollution in future, or as to the conservancy of rivers and streams."
Fallon And Shaw,Worsted Spinners,"Providence Mill, Back Lane, Wakefield","Our works are situated near the Calder. Employ 60 hands. Rateable value of works, 150l. Our works are not affected by floods. Obtain supply of water from waterworks; and consume yearly 3,000,000 gallons. Manufacture yearly 380,000 lbs. of goods, of the value of 26,000l. Produce yearly liquid refuse from washing, 400,000 gallons, dyeing, 400,000 gallons, and soapsuds, 200,000 gallons. The whole of the waste liquid produced at our works, except soapsuds, flows direct into sewers, and thence into the river. Use yearly as dye wares, logwood, 6 tons; indigo half a ton, and cochineal half a ton. The spent dye stuffs are burned. Do not use any bleaching materials. Use yearly 2,600 gallons of Gallipoli oil, and produce yearly 7 tons of waste wool in the process of carding, which are sold for manure. Use yearly, soap, 20 tons; alkali, 12 tons; no urine. The soapsuds are treated for the recovery of the grease, by which we gain 70l. a year. Use steam, 40 nominal horse-power. Consume yearly 1,500 tons of coal; the ashes from which are carted away. The excrements of our workpeople are conveyed by sewers into the river. Have no suggestions to offer."
R. H. Barker & Company,Manufacturers of Knitting Worsteds and Lambs Wool Yarns,"Thornes, Wakefield.","Our works are situated on the Calder. Employ 250 hands. Rateable value of works, 800l. The bed of the river has not silted up near our works, on account of the dredging performed by the Aire and Calder Navigation Company. Our works are affected by floods, but this is not due to the silting up of the bed of the river. The river is much more foul than it was a few years ago. It is polluted to a very great extent by works above and by town's sewage, but not to our knowledge by mines. Obtain supply of water from the river; and consume yearly for all purposes 2,000,000 gallons. The river from which we derive our supply of water rendered clear and colourless, it would undoubtedly be of great advantage to us, but we are not able to fix a money value to it. Manufacture yearly 1,568,000 lbs. of goods, of the value of 140,000l. Produce yearly liquid refuse from washing 900,000 gallons, and from dyeing 1,000,000 gallons. The whole of this flows unfiltered into the sewers. Use yearly 130,000 lbs. of dye wares; chiefly logwood, camwood, and Sander's wood. The spent dye stuffs are burned. We also use 2,500 lbs. of indigo, and 900 lbs. of cochineal. The spent liquor from these goes into stream, 0. Do not use any bleaching materials. Use yearly 30 tons of Gallipoli oil, the value of 1,600l. Produce yearly 10,000 lbs. of wool in the process of carding, which is sold to waste dealers. Use yearly soap 60 tons, and alkali from 10 to 15 tons. The soapsuds are treated for the recovery of the grease, by which we gain 20l. yearly. Use steam, 100 nominal horse-power. Consume yearly from 2,500 to 3,000 tons of coal, the ashes from which are carted away to refuse. The excrements of our workpeople are conveyed by sewers into the river. Have no suggestions to offer."
Wade And Son,Union Manufacturers,"Portobello Mills, Thornes Lane, Wakefield.","Our works are situated on the Calder. Employ 230 hands. Rateable value of works, 385l. 9s. The bed of the river has not silted up near our works. Our works are not affected by floods. The river is very considerably polluted by works above, and by mines. Obtain supply of water from the river Calder, and consume yearly 9,000,000 gallons. If the river or stream were rendered clear and colourless, it would be of comparatively little direct money value to us. Manufacture yearly 464,100 lbs. of goods of the value of 44,200l. Produce liquid refuse from washing 6,000,000 gallons, 1,500,000 from dyeing, and 1,500,000 from soapsuds. We have no depositing tanks, and the whole of the waste liquid produced at our works flows direct into the river. Use yearly 320,000 lbs. of dye wares, chiefly nitrate of iron, finishing potash, blue spirits, ammonia, shunac, logwood, alum, persulphate of potash, copperas, extract of indigo, chrome, fustic, and argol. The spent dye stuffs are turned into the river. Do not use any bleaching materials. Use yearly 48 tons of Gallipoli oil, the value of 2,400l. The waste wool produced in carding is sold to oil and grease extractors. Use yearly soap 55,000 lbs., soda 33,000 lbs. to rinse any urine. The soapsuds are not treated for the recovery of the grease. Use steam, 50 nominal horse-power. Consume yearly 1,800 tons of coal, the ashes from which are carted away from the premises. The excrements of our workpeople are conveyed to land to be used for manure. Have no suggestions to offer."
Whitley Spring Mill Company,Carpet Manufacturers,"Ossett Street, Wakefield","Our works are situated on the Calder. Employ 230 hands. Rateable value of works, 448l. 3s. The bed of the stream has not silted up near our works. Our works are not affected by floods. The condition of the stream has not changed, within our knowledge; it is much the same as it has been for several years. It is polluted by works above, and by mines. Obtain supply of water jointly from the stream and from mines, but the quantity for consumption at our works. Manufacture yearly 579,120 lbs. of goods. The whole of the waste liquid produced at our works flows direct into the river. Use yearly 96,496 lbs. of dye wares, principally logwood, peacock, and fustic. The spent dye stuffs are taken away and used for manure. Do not use any bleaching materials. Use yearly 35 tons of rape and olive oil. The whole of the waste wood produced at our works is used for manure. Use yearly soap 60 tons; Soap 12 tons, and alkali 18 tons; but the principal portion of our goods is cleansed with fullers earth, of which we use 20 tons yearly. Use steam, 36 nominal horse-power. Consume yearly about 6 tons of coal, the ashes from which are used to repair roads. The excrements of our workpeople are used for manure. No suggestions to offer."
James Pearce,Cotton and Woollen Manufacturer,Denby Dale,"My works are situated on the Dearne. Employ 150 hands. Rateable value of works, 160l. 5s. The bed of the stream has not silted up. My works are not affected by floods. Obtain supply of water from wells, but do not know the annual consumption at my works. Manufacture yearly 7 tons of goods, of the value of 8,000l. The whole of the liquid refuse produced at my works flows directly into the river. Use yearly 4 tons of dye wares, chiefly dye woods. The spent dye stuffs are turned into the river. Do not use any bleaching materials. Use yearly 3Œ© tons of Gallipoli oil, of the value of 170l. Produce yearly 1,600 lbs. of waste wool in the process of carding, which is sold to oil and grease extractors. Use yearly, soap 1 ton, and alkali 2 tons. The soapsuds are not treated for the recovery of grease. Use steam, 12 nominal horse-power. Consume yearly 750 tons of coal, the ashes from which are used to repair roads. The excrements of my workpeople are carted on to land to be used for manure. Have no suggestions to offer."
Hirst Brothers,Woollen Cloth Manufacturers,"Birds Edge Mill, Denby Dale","My works are situated on the Dearne. Employ 180 hands. Rateable value of works, 370l. The bed of the stream opposite our works has not silted up. Our works are not affected by floods. The river is not polluted by works above, nor by mines. Obtain supply of water jointly from the stream and from bore-holes; but do not know the annual consumption at our works. The water is sufficiently clean for our purposes. Manufacture yearly 104 tons of goods, of the value of 20,000l. The whole of the waste liquid produced at our works, except soapsuds, flows direct into the river. Use yearly 17,920 lbs. of dye wares, chiefly logwood, Sander's wood, barwood, fustic, and madder. The spent dye stuffs are burned. Do not use any bleaching materials. Use yearly 20 tons of Gallipoli oil, of the value of 1,100l. Produce yearly 26 tons of waste wool in the process of carding, from which we extract the grease and use the refuse for manure. Use yearly, soap 7 tons, alkali and urine 18 tons. The soapsuds are treated for the recovery of the grease, by which we gain 100l. a year. Use steam, 40 nominal horse-power. Consume yearly 1,100 tons of coal, the ashes from which are used to repair roads. The excrements of my workpeople are used for manure. Have no suggestions to offer."
Samuel Field,Woollen Manufacturer,Skelmanthorpe,"My works are situated on a small tributary of the Dearne. Employ 100 hands. Rateable value of works, 55l. 15s. The bed of the stream has not silted up. My works are not affected by floods. There has been very little alteration, within my knowledge, in the condition of the stream. The stream is seriously polluted, and when it reaches our works it is unfit for manufacturing purposes, and I use it for irrigation; it is not polluted by mines. Obtain supply of water from wells and bore-holes; but do not know the annual consumption at my works. Manufacture yearly 72,000 lbs., dye 30,000 lbs., and bleach 10,000 lbs. The whole of the waste liquid produced at my works, except soapsuds, flows into sewers and is used for irrigation. Use yearly 2 tons of logwood 2 tons, and also aniline dyes. The solid spent dye stuffs are carted away. Use yearly as bleaching materials 300 lbs. of chloride of lime. Do not use any oil. Use yearly soap 5 tons, and ammonia 20,000 lbs. The soapsuds are not treated for the recovery of grease. Use steam, 6 nominal horse-power. Consume yearly coals of the value of 50l., the ashes from which are used for repairing roads. The excrements of my workpeople are removed in carts and used for manure. I suggest that the liquid refuse from manufactories be used for irrigation."
Coward & Company,Bleachers,"Swithin Bleach Works, Swithin Haig","Our works are situated on the Dearne. Employ 55 hands. Rateable value of works, 428l. The bed of the stream has not silted up opposite our works. Our works are not affected by floods. The river is polluted by works above, and by mines. Obtain supply of water from springs, but are not able to state the quantity consumed at our works. We are unable to state the weight of goods produced at our works, as we do not bleach them by weight. The whole of the waste liquid produced at our works flows into the stream. Do not use any dye wares. Use yearly as bleaching materials, soap 8 tons, soda ash 12 tons, bleaching powder 12 tons, and vitriol 10 tons. Use steam, 26 nominal horse-power. Consume yearly 1,000 tons of coal, the ashes from which are used to repair roads. The excrements of our workpeople are carted on to land, to be used for manure. Have no suggestions to offer."
Henry Clegg & Co.,Tanners,Ardsley,"Our tanyard are situated near the Dearne. Employ 6 hands. Rateable value of tanyard, 32l. The bed of the stream has not silted up within our knowledge. The tanyard are not affected by floods. The condition of the stream has not changed since we have occupied the tanyard. It is polluted by town sewage; we are not within our knowledge. Obtain supply of water jointly from the stream and from the canal; but do not know the annual consumption at our tanyard. Tan yearly from 60 to 70 tons of hides, and produce leather 30 tons. Use lime 10 tons, bark 120, valonia 15, gambir or terra japonica 20 tons, and pigeons‚ dung 60 bushels. Obtain 20 bushels of hair in the process of depilation, which is sold to plasterers. The fatty matter produced in fleshing is sold to tanners. Have 41 tan pits of various sizes. Do not use any dye wares. The whole of the waste liquid produced at our tanyard flows into sewers, and thence into the stream. Use steam, 5 nominal horse-power. Consume yearly 120 tons of coal, the ashes from which are used to repair roads. The excrements of our workpeople are used for manure. Have no suggestions to offer."
John Nickols,Tanner,"Cinder Hill Tannery, Cawthorne, Barnsley","My tanyard is situated on the Dankin Brook, a tributary of the Dearne. Employ 4 hands. Rateable value of tanyard, 20l. 10 s. The bed of the stream has not silted up. My tanyard is not affected by floods. The stream is not polluted by works above, nor by mines. Obtain supply of water from spring, and consume yearly 10,000 gallons. The water is sufficiently pure for my manufacturing purposes. Tan yearly, hides, 52 tons. Use yearly, lime 3 tons, bark 100 tons, valonia 3 tons, shumac 1 ton, and pigeons‚ dung, 50 bushels. Obtain 200 bushels of hair in the process of depilation, which is sold to curriers. I have 40 tanpits of various descriptions. Do not use any dye wares. The whole of the waste liquid produced by my tanyard is used in irrigation. Use steam, 9 nominal horse-power. Consume yearly 100 tons of coal, the ashes from which are used to repair roads. The excrements of my workpeople are used for manure. Have no suggestions to offer."
Thomas Marsden,Paper Maker,"Smithies, Barnsley","My paper mills are situated on the Dearne. Employ 40 hands. The new mill has not yet been rated. The bed of the river has not silted up. My mills are not affected by floods. The river has always been unpolluted within my knowledge. It is polluted by dye works, bleachers, and numerous collieries above my mills. Obtain supply of water from the river, but am not able to give the annual consumption. Use yearly rags, bagging, and waste, 700 tons; soda ash, 6 tons; bleaching powder, 10 tons; alum, 36 tons; lime, 12 tons; and anti-chlorine. The whole of the liquid refuse produced at my works flows into a settling pond and thence into the river. Manufacture yearly, brown paper 250 tons, and sugar paper 350 tons. Produce yearly rag dust or waste 20 tons; this is used for manure. Use both steam and water, 70 nominal horse-power. Consume yearly 2,500 tons of coal, the ashes from which are used for repairing roads. The excrements of my workpeople are used for manure. I suggest, as the best means of avoiding pollution in the future, that a series of intercepting sewers should be formed, commencing from the first point of pollution, to take in all polluting liquids from works, collieries, and town sewers, the whole to be conveyed to convenient points for utilization. A universal rate should be levied on the property within the river basin for the erection and maintenance of those works."
Charles Marsden & Son,Paper Makers,"Old Mill, Barnsley","Our mills are situated on the Dearne. Employ 40 hands. Rateable value of mills, 150l. The bed of the stream has not silted up. Our mills are not affected by floods. The river has always been unpolluted within our knowledge. It is polluted above our works by paper mills and bleach dye works, and below by tanneries and works. Use yearly bagging and waste, 700 tons; bleaching powder 80 tons, alum 50 tons, lime 12 tons, and anti-chlorine 2 tons. The whole of the liquid refuse is discharged direct into the river. Manufacture yearly 2,600 tons of paper. Produce yearly 3,600 tons of coal, the ashes from which are used by a contractor for filling up and raising inequalities in land and for repairing roads. The excrements of our workpeople are used for manure. We suggest as the best means of avoiding pollution in future, that main sewers should be made from the first point of pollution, so constructed as to intercept pollution from all polluting liquids from collieries and town sewers; that this sewage should be utilized at convenient points; and to carry out and maintain these works a general rate should be levied on all property within the river basin."
"Vickars, Snowdon & Morris",Manure Manufacturers,"Hazel Head, Penistone","Our works are situated on the Don. Employ 10 hands. Rateable value of works, 100 l.. The bed of the river has not silted up. Our works are not affected by floods. The condition of the stream has not changed within our knowledge. It is not polluted by works above, but by mines. Obtain supply of water from springs, but are not able to give the annual consumption at our works ; but it is very small in volume. We have two condensing towers 4 feet square and 20 feet high. We use mid produce at our works, pyrites 700 tons, brown oil of vitriol 520 tons, phosphate of lime 600 tons, and bones 250 tons. The whole of the liquid refuse produced at our works flows direct into the stream. Use steam, 8 nominal horse-power. Consume yearly 250 tons of coal, the ashes from which are used for ballast on railways ; as is also the ash of the waste pyrites. The excrements of our workpeople are used for manure. Have no suggestions to offer."
Milner & Nokes,Woollen Cloth Manufacturer,"Thurlstone, Penistone","Our works are situated on the river Don. Employ 36 hands. Rateable value of works, 175l. 15s. The bed of the stream has silted up to some extent owing to the flood water running down, and shale thrown in from quarries. Our works are affected by floods, but the stream has been fouled by the refuse of other works for more than 50 years. Obtain our supply of water jointly from the river, from a stream, and from springs, but are not able to give the annual consumption at our works. If the river or stream were rendered clear and colourless it would be a great advantage to us, but we cannot state the direct money value. Manufacture yearly 20 tons of goods, of the value of 8,000l. The whole of the waste liquid produced at our works flows direct into the river. We use yearly 1,000 lbs. of dyewares, chiefly logwood, camwood, madder, alum and bi-chrome. The spent dyestuffs are turned into the river. Do not use bleaching materials. Use yearly 25 gallons of Gallipoli oil, of the value of 15l. The whole of the waste wool produced in carding is partly worked up again, and the remainder sold. Use yearly 20 tons of soap, and no urine. The soapsuds are not treated for the recovery of grease. Use both steam and water as power, steam 12 and water 6 nominal horse-power. Consume yearly 450 tons of coal, the ashes from which are used for the repair of roads. The excrements of our workpeople are carted on to land to be used for manure. Have no suggestions to offer."
R. W. Marshall,Paper Manufacturer,"Owlerton, Sheffield","My paper mills are situated on the Lozley, a tributary of the Don. Employ 15 hands. Rateable value of mills, 93l. 6s. The bed of the stream has not silted up. My works are not affected by floods. The stream was formerly clear and fish lived in it; but the water pumped into it from the collieries at Dingsworth has destroyed the fish. The river is not polluted by works above nor by mines. Obtain supply of water jointly from the river and from wells, but do not know the annual consumption at my mills. Use yearly, ropes 50 tons, soda ash 6 cwt., alum 6 cwt., and lime 6 cwt. The whole of the waste liquid produced at my mills flows direct into the stream. Manufacture yearly 40 tons of hand made brown paper. Do not produce any rag, dust, or waste. Use water, 24 nominal horse-power. Consume yearly 50 tons of coal; the ashes from which are used to repair roads. The excrements of my workpeople are mixed with the fines and used on the land for manure. Have no suggestions to offer."
William King Woodward,Paper Manufacturer,"Olive Paper Mills, Loxley, Sheffield","My mills are situated on the Lozley, a tributary of the Don. Employ 8 hands. Rateable value of mills, 110l. The bed of the stream has not silted up. My mills are not affected by floods. The condition of the stream is much the same as it has been during the last 30 years, except that a certain volume of water from collieries is pumped into it, which has destroyed the fish. It is not polluted by works above, but by mines. Obtain supply of water jointly from the river and from the Waterworks Company, but do not know the annual consumption at my mills. If the river were rendered clear and colourless it would be of considerable money value to me, but cannot be told to state the amount. Use yearly, ropes 50 tons, alum 1 cwt., and lime 2 tons. The whole of the waste liquid produced at my mills flows direct into the stream. Manufacture yearly rope paper about 42 tons. Do not produce any dust or waste. Use water as power, and consume thereby 6,800,000 gallons a day; this si compensation water furnished by the Sheffield Waterworks Company under their Act of Parliament. Consume yearly 80 tons of coal; the ashes from which are used to repair roads. The excrements of my workpeople are used for manure. No suggestions to offer."
Charles Marsden And Son,Paper Manufacturers,"Rivelin, near Sheffield","Our mills are situated on the Rivelin, a tributary of the Don. Employ 50 hands. Ratable value of mills, 214l. 2s. 6d. The bed of the stream has not silted up. Our mills are not affected by floods, because we have formed a reservoir to impound the flood water, and so regulate the flow. The river is polluted by works above; not by mines. Obtain supply of water from the river, but do not know the maximum quantity at our mills. Use yearly, rags, 500 tons, soda ash, 5 tons, bleaching powder, 10 tons, alum, 30 tons, lime, 12 tons, and anti-chlor, 1 ton. The whole of the liquid refuse produced at our works flows direct into the stream. Manufacture yearly, 600 tons of rope browns, glazed browns, and green brown paper. The whole of the rag dust produced is used for manure. Use steam and water as power; steam 40, and water, 30 nominal horse-power. Consume yearly, 3,000 tons of coal; the ashes from which are carted on to the highways for repairing the same. The excrements of our workpeople are carted on to land to be used for manure. Have no suggestions to offer."
